ibbis_flag,ibbis_max_similarity,ibbis_fragments_flagged,n_fragments,order_id,label,label_name,target_segment,coverage,mutation_rate
ALERT,0.6627,3,7,H1N-PAR-0003,3,suspicious_partial,H1N1_HA_segment,0.292,0.088
CLEAR,0.3228,0,8,H1N-PAR-0005,9,suspicious_partial,H1N1_NP_segment,0.466,0.124
ALERT,0.6418,1,6,H1N-PAR-0027,9,suspicious_partial,H1N1_NP_segment,0.416,0.089
ALERT,0.9394,16,17,H1N-HIG-0023,4,suspicious_high,H1N1_NA_segment,0.863,0.005
CLEAR,0.1852,0,4,BEN-0033,0,benign,none,0.0,0.0
ALERT,0.6312,5,9,H1N-MED-0021,5,suspicious_medium,H1N1_NA_segment,0.539,0.047
ALERT,1.0,4,15,H1N-MED-0018,2,suspicious_medium,H1N1_HA_segment,0.68,0.072
CLEAR,0.3208,0,2,BEN-0014,0,benign,none,0.0,0.0
CLEAR,0.2308,0,3,BEN-0073,0,benign,none,0.0,0.0
CLEAR,0.4462,0,6,H1N-PAR-0026,6,suspicious_partial,H1N1_NA_segment,0.33,0.111
ALERT,0.7321,5,19,H1N-MED-0014,2,suspicious_medium,H1N1_HA_segment,0.786,0.079
CLEAR,0.0789,0,2,BEN-0049,0,benign,none,0.0,0.0
ALERT,0.7126,3,8,H1N-MED-0010,8,suspicious_medium,H1N1_NP_segment,0.525,0.063
ALERT,0.5952,3,10,H1N-MED-0024,5,suspicious_medium,H1N1_NA_segment,0.603,0.064
CLEAR,0.3818,0,3,BEN-0067,0,benign,none,0.0,0.0
CLEAR,0.1475,0,4,BEN-0119,0,benign,none,0.0,0.0
CLEAR,0.0746,0,5,BEN-0058,0,benign,none,0.0,0.0
ALERT,0.7975,6,16,H1N-MED-0012,2,suspicious_medium,H1N1_HA_segment,0.772,0.053
ALERT,1.0,12,15,H1N-HIG-0028,4,suspicious_high,H1N1_NA_segment,0.92,0.008
ALERT,0.7969,4,11,H1N-MED-0028,5,suspicious_medium,H1N1_NA_segment,0.622,0.051
ALERT,0.8286,3,15,H1N-MED-0006,2,suspicious_medium,H1N1_HA_segment,0.744,0.052
ALERT,0.6687,5,12,H1N-MED-0012,5,suspicious_medium,H1N1_NA_segment,0.7,0.05
CLEAR,0.0882,0,4,BEN-0127,0,benign,none,0.0,0.0
CLEAR,0.0938,0,3,BEN-0142,0,benign,none,0.0,0.0
ALERT,1.0,16,17,H1N-HIG-0015,4,suspicious_high,H1N1_NA_segment,0.884,0.013
CLEAR,0.24,0,3,BEN-0149,0,benign,none,0.0,0.0
ALERT,0.7586,4,10,H1N-MED-0013,2,suspicious_medium,H1N1_HA_segment,0.517,0.06
ALERT,0.6092,3,13,H1N-MED-0023,2,suspicious_medium,H1N1_HA_segment,0.634,0.067
ALERT,0.8507,7,16,H1N-MED-0021,2,suspicious_medium,H1N1_HA_segment,0.78,0.046
CLEAR,0.027,0,1,BEN-0133,0,benign,none,0.0,0.0
ALERT,0.6667,1,7,H1N-PAR-0024,6,suspicious_partial,H1N1_NA_segment,0.41,0.11
ALERT,1.0,5,10,H1N-MED-0016,5,suspicious_medium,H1N1_NA_segment,0.587,0.06
ALERT,0.7067,3,9,H1N-MED-0011,5,suspicious_medium,H1N1_NA_segment,0.551,0.068
ALERT,0.6234,5,11,H1N-MED-0004,5,suspicious_medium,H1N1_NA_segment,0.669,0.047
ALERT,0.8462,1,3,BEN-0032,0,benign,none,0.0,0.0
ALERT,0.6434,3,12,H1N-MED-0002,5,suspicious_medium,H1N1_NA_segment,0.738,0.069
ALERT,0.9655,14,17,H1N-HIG-0000,4,suspicious_high,H1N1_NA_segment,0.888,0.016
ALERT,1.0,15,15,H1N-HIG-0012,4,suspicious_high,H1N1_NA_segment,0.942,0.004
CLEAR,0.2453,0,5,BEN-0068,0,benign,none,0.0,0.0
ALERT,0.5593,2,5,H1N-PAR-0015,9,suspicious_partial,H1N1_NP_segment,0.414,0.08
CLEAR,0.375,0,3,BEN-0048,0,benign,none,0.0,0.0
ALERT,0.5765,1,7,H1N-PAR-0013,9,suspicious_partial,H1N1_NP_segment,0.439,0.082
ALERT,0.8741,5,8,H1N-MED-0007,8,suspicious_medium,H1N1_NP_segment,0.51,0.045
ALERT,1.0,19,20,H1N-HIG-0010,1,suspicious_high,H1N1_HA_segment,0.86,0.001
ALERT,0.6462,5,16,H1N-MED-0023,5,suspicious_medium,H1N1_NA_segment,0.789,0.069
ALERT,1.0,15,15,H1N-HIG-0026,4,suspicious_high,H1N1_NA_segment,0.902,0.008
CLEAR,0.0244,0,1,BEN-0000,0,benign,none,0.0,0.0
ALERT,0.6923,3,11,H1N-MED-0006,8,suspicious_medium,H1N1_NP_segment,0.676,0.078
ALERT,0.7626,2,7,H1N-PAR-0018,6,suspicious_partial,H1N1_NA_segment,0.353,0.109
ALERT,0.9195,14,15,H1N-HIG-0029,1,suspicious_high,H1N1_HA_segment,0.811,0.01
CLEAR,0.0222,0,4,BEN-0002,0,benign,none,0.0,0.0
CLEAR,0.3063,0,4,H1N-PAR-0015,6,suspicious_partial,H1N1_NA_segment,0.274,0.126
CLEAR,0.1148,0,2,BEN-0059,0,benign,none,0.0,0.0
CLEAR,0.0857,0,2,BEN-0121,0,benign,none,0.0,0.0
ALERT,0.5775,4,11,H1N-MED-0001,5,suspicious_medium,H1N1_NA_segment,0.668,0.057
ALERT,0.6357,1,6,H1N-PAR-0001,9,suspicious_partial,H1N1_NP_segment,0.463,0.097
ALERT,1.0,12,12,H1N-HIG-0020,7,suspicious_high,H1N1_NP_segment,0.945,0.002
CLEAR,0.0943,0,5,BEN-0070,0,benign,none,0.0,0.0
ALERT,0.6389,7,13,H1N-MED-0028,2,suspicious_medium,H1N1_HA_segment,0.578,0.056
ALERT,1.0,15,15,H1N-HIG-0027,1,suspicious_high,H1N1_HA_segment,0.8,0.0
ALERT,0.6883,3,12,H1N-MED-0027,5,suspicious_medium,H1N1_NA_segment,0.763,0.07
CLEAR,0.0833,0,3,BEN-0055,0,benign,none,0.0,0.0
CLEAR,0.2174,0,5,BEN-0074,0,benign,none,0.0,0.0
CLEAR,0.3333,0,5,BEN-0080,0,benign,none,0.0,0.0
CLEAR,0.1818,0,4,BEN-0106,0,benign,none,0.0,0.0
ALERT,1.0,18,20,H1N-HIG-0012,1,suspicious_high,H1N1_HA_segment,0.895,0.013
ALERT,0.5529,2,7,H1N-PAR-0024,9,suspicious_partial,H1N1_NP_segment,0.406,0.124
ALERT,0.641,4,11,H1N-MED-0011,2,suspicious_medium,H1N1_HA_segment,0.516,0.057
ALERT,0.5327,1,10,H1N-PAR-0029,3,suspicious_partial,H1N1_HA_segment,0.429,0.124
ALERT,0.902,13,16,H1N-HIG-0001,4,suspicious_high,H1N1_NA_segment,0.919,0.019
CLEAR,0.2727,0,5,BEN-0122,0,benign,none,0.0,0.0
CLEAR,0.2308,0,3,BEN-0026,0,benign,none,0.0,0.0
ALERT,0.6053,2,6,H1N-PAR-0019,6,suspicious_partial,H1N1_NA_segment,0.291,0.109
ALERT,1.0,15,18,H1N-HIG-0013,1,suspicious_high,H1N1_HA_segment,0.926,0.016
ALERT,1.0,10,10,H1N-HIG-0021,7,suspicious_high,H1N1_NP_segment,0.802,0.006
ALERT,1.0,16,17,H1N-HIG-0017,1,suspicious_high,H1N1_HA_segment,0.852,0.007
ALERT,0.814,3,11,H1N-MED-0013,8,suspicious_medium,H1N1_NP_segment,0.706,0.044
ALERT,0.6591,6,11,H1N-MED-0000,2,suspicious_medium,H1N1_HA_segment,0.529,0.051
CLEAR,0.337,0,12,H1N-PAR-0027,3,suspicious_partial,H1N1_HA_segment,0.453,0.123
ALERT,0.9277,17,20,H1N-HIG-0011,1,suspicious_high,H1N1_HA_segment,0.936,0.014
ALERT,0.9765,17,18,H1N-HIG-0021,1,suspicious_high,H1N1_HA_segment,0.92,0.014
ALERT,1.0,14,16,H1N-HIG-0018,4,suspicious_high,H1N1_NA_segment,0.92,0.01
CLEAR,0.3081,0,6,H1N-PAR-0017,6,suspicious_partial,H1N1_NA_segment,0.414,0.104
ALERT,1.0,11,14,H1N-HIG-0002,7,suspicious_high,H1N1_NP_segment,0.819,0.016
CLEAR,0.0638,0,2,BEN-0017,0,benign,none,0.0,0.0
CLEAR,0.1667,0,3,BEN-0025,0,benign,none,0.0,0.0
ALERT,0.8519,5,12,H1N-MED-0018,8,suspicious_medium,H1N1_NP_segment,0.788,0.053
CLEAR,0.2353,0,5,BEN-0004,0,benign,none,0.0,0.0
CLEAR,0.4737,0,5,H1N-PAR-0003,9,suspicious_partial,H1N1_NP_segment,0.346,0.101
CLEAR,0.45,0,2,BEN-0086,0,benign,none,0.0,0.0
ALERT,1.0,11,13,H1N-HIG-0026,7,suspicious_high,H1N1_NP_segment,0.852,0.009
CLEAR,0.0,0,1,BEN-0076,0,benign,none,0.0,0.0
ALERT,0.8421,7,10,H1N-MED-0029,2,suspicious_medium,H1N1_HA_segment,0.503,0.052
ALERT,0.5294,1,10,H1N-MED-0001,8,suspicious_medium,H1N1_NP_segment,0.763,0.072
ALERT,1.0,14,16,H1N-HIG-0024,7,suspicious_high,H1N1_NP_segment,0.929,0.01
ALERT,0.5,2,7,H1N-PAR-0016,3,suspicious_partial,H1N1_HA_segment,0.317,0.085
ALERT,0.6667,1,7,H1N-PAR-0025,3,suspicious_partial,H1N1_HA_segment,0.301,0.102
ALERT,1.0,17,17,H1N-HIG-0028,1,suspicious_high,H1N1_HA_segment,0.899,0.002
CLEAR,0.1321,0,1,BEN-0079,0,benign,none,0.0,0.0
CLEAR,0.4286,0,3,BEN-0095,0,benign,none,0.0,0.0
CLEAR,0.0769,0,1,BEN-0098,0,benign,none,0.0,0.0
ALERT,0.7619,6,14,H1N-MED-0015,5,suspicious_medium,H1N1_NA_segment,0.736,0.065
CLEAR,0.0968,0,1,BEN-0007,0,benign,none,0.0,0.0
ALERT,0.9825,6,14,H1N-MED-0024,2,suspicious_medium,H1N1_HA_segment,0.625,0.041
ALERT,0.6346,3,13,H1N-MED-0001,2,suspicious_medium,H1N1_HA_segment,0.68,0.065
ALERT,0.9437,14,16,H1N-HIG-0013,4,suspicious_high,H1N1_NA_segment,0.866,0.019
ALERT,0.7018,5,10,H1N-MED-0009,5,suspicious_medium,H1N1_NA_segment,0.632,0.062
ALERT,1.0,14,14,H1N-HIG-0005,1,suspicious_high,H1N1_HA_segment,0.85,0.009
ALERT,1.0,12,15,H1N-HIG-0021,4,suspicious_high,H1N1_NA_segment,0.828,0.013
CLEAR,0.2889,0,4,H1N-PAR-0023,6,suspicious_partial,H1N1_NA_segment,0.281,0.127
CLEAR,0.0566,0,1,BEN-0140,0,benign,none,0.0,0.0
CLEAR,0.4754,0,6,H1N-PAR-0003,6,suspicious_partial,H1N1_NA_segment,0.36,0.114
ALERT,0.958,14,17,H1N-HIG-0019,1,suspicious_high,H1N1_HA_segment,0.923,0.017
ALERT,1.0,14,14,H1N-HIG-0007,7,suspicious_high,H1N1_NP_segment,0.876,0.009
CLEAR,0.4609,0,8,H1N-PAR-0000,3,suspicious_partial,H1N1_HA_segment,0.388,0.1
ALERT,0.9623,14,16,H1N-HIG-0025,4,suspicious_high,H1N1_NA_segment,0.875,0.012
CLEAR,0.1667,0,2,BEN-0069,0,benign,none,0.0,0.0
ALERT,1.0,19,20,H1N-HIG-0016,1,suspicious_high,H1N1_HA_segment,0.929,0.005
CLEAR,0.3869,0,6,H1N-PAR-0022,9,suspicious_partial,H1N1_NP_segment,0.353,0.106
CLEAR,0.3393,0,7,H1N-PAR-0020,3,suspicious_partial,H1N1_HA_segment,0.304,0.128
CLEAR,0.4375,0,6,H1N-PAR-0002,9,suspicious_partial,H1N1_NP_segment,0.389,0.084
CLEAR,0.0182,0,1,BEN-0066,0,benign,none,0.0,0.0
ALERT,0.5145,1,7,H1N-PAR-0000,9,suspicious_partial,H1N1_NP_segment,0.48,0.109
CLEAR,0.129,0,4,BEN-0042,0,benign,none,0.0,0.0
CLEAR,0.0,0,4,BEN-0134,0,benign,none,0.0,0.0
CLEAR,0.2593,0,5,BEN-0009,0,benign,none,0.0,0.0
